Country Name,Country Code,Total Tonnes,Capture,Aquaculture
"Yemen, Rep.",YEM,131316.52,131306.52,10
Zambia,ZMB,168480,105125,63355
Zimbabwe,ZWE,27791.82,22734,5057.82
Africa Eastern and Southern,AFE,4477326.09,4122458.3,410243.65
Africa Western and Central,AFW,3702946.64,4163673.25,399490.5
Arab World,ARB,5168707.83,4314308.72,1767061.18
Caribbean small states,CSS,301430.01,299446.16,1983.85
Central Europe and the Baltics,CEB,667432.59,519211.07,148221.52
Early-demographic dividend,EAR,68669282.6,33768335.84,35049028.86
East Asia & Pacific,EAS,139592229.2,37713814.18,101879915.1
East Asia & Pacific (excluding high income),EAP,129716896.4,31763219.01,97953677.4
East Asia & Pacific (IDA & IBRD countries),TEA,128947597.2,31674499.29,97273097.9
Euro area,EMU,3767120.68,2808966.22,958154.46
Europe & Central Asia,ECS,18629850.86,14689002.28,4214918.92
Europe & Central Asia (excluding high income),ECA,6940673.6,5913289.09,1027384.51
Europe & Central Asia (IDA & IBRD countries),TEC,7294162.62,6183446.41,1110716.21
European Union,EUU,4873864.42,3722519.7,1151344.72
Fragile and conflict affected situations,FCS,6425143.22,5093721.93,1380777.35
Heavily indebted poor countries (HIPC),HPC,5461651.92,5776940.27,600304.62
High income,HIC,32763307.97,23684629.76,9355010.55
IBRD only,IBD,170460591.4,58372987.64,112087603.8
IDA & IBRD total,IBT,187886716,71440487.33,117509903.8
IDA blend,IDB,2714456.2,2110063.06,604393.14
IDA only,IDX,14711668.43,10957436.63,4817906.87
IDA total,IDA,17426124.63,13067499.69,5422300.01
Late-demographic dividend,LTE,115938669.4,33342572.77,82596096.6
Latin America & Caribbean,LCN,18093653.62,14245391.92,3848604.7
Latin America & Caribbean (excluding high income),LAC,13676142.15,11331570.09,2344572.06
Latin America & the Caribbean (IDA & IBRD countries),TLA,18012593.01,14186716.91,3825876.1
Least developed countries: UN classification,LDC,13674873.02,10027043.79,4566511.1
Low & middle income,LMY,183832248.9,68269389.45,116626534.5
Low income,LIC,4535569.68,3613669.86,971255.88
Lower middle income,LMC,68284285.76,30874320.56,38298647.07
Middle East & North Africa,MEA,6418306.69,4154189.17,2267206.42
Middle East & North Africa (excluding high income),MNA,5176494.74,3063120.46,2116463.18
Middle East & North Africa (IDA & IBRD countries),TMN,5171147.04,3058459.76,2115776.18
Middle income,MIC,179719432.2,65092370.26,115660737
North America,NAC,5677001.25,5037356.64,640063.61
Not classified,INX,..,..,..
OECD members,OED,32097941.32,22412428.25,9685513.07
Other small states,OSS,2020251.99,2103835.82,89874.13
Pacific island small states,PSS,767526.45,754724.79,12801.66
Post-demographic dividend,PST,23826902.07,16554286.7,7274115.37
Pre-demographic dividend,PRE,6522892.81,6708350.09,724115.89
Small states,SST,3089208.45,3158006.77,104659.64
South Asia,SAS,20280943.43,8051233.41,12374703.22
South Asia (IDA & IBRD),TSA,20280943.43,8051233.41,12374703.22
Sub-Saharan Africa,SSF,8180272.73,8286131.55,809734.15
Sub-Saharan Africa (excluding high income),SSA,8041098.57,8146957.39,809734.15
Sub-Saharan Africa (IDA & IBRD countries),TSS,8180272.73,8286131.55,809734.15
Upper middle income,UMC,111435146.4,34218049.7,77362089.89
World,WLD,216872257.8,92177119.15,126035146.1
